osm_id,name,amenity,lon,lat
7856667649,โรงพยาบาลอนันต์พัฒนา 2,hospital,100.4766494,13.798235
7856667746,โรงพยาบาลศรีนคร,hospital,99.9932992,17.3539051
7856667434,โรงพยาบาลกระทุ่มแบน 2,hospital,100.3307721,13.7220321
7856667639,โรงพยาบาลบุรฉัตรไชยากร,hospital,100.5516493,13.7520786
7856667690,โรงพยาบาลบางแพ,hospital,99.9218237,13.6938086
7856667783,โรงพยาบาลสิริเวช,hospital,99.0380359,18.5617829
7856667479,โรงพยาบาลยุวประสาทไวทโยปถัมถ์,hospital,100.5938405,13.6144774
7856667694,โรงพยาบาลอินทร,hospital,99.8685899,13.8212682
7856667763,โรงพยาบาลแพร่รวมแพทย์,hospital,100.1581693,18.1480845
7856667789,โรงพยาบาลไชยปราการ,hospital,99.1368484,19.7054707
7856667478,โรงพยาบาลบางจาก,hospital,100.5400354,13.6095348
7856667671,โรงพยาบาลศาลายา,hospital,100.3033894,13.8050647
7856667758,โรงพยาบาลท่าปลา,hospital,100.3777027,17.7949179
7856667483,โรงพยาบาลกล้วยน้ำไท,hospital,100.5864751,13.7150697
7856667725,โรงพยาบาลเสนา,hospital,100.3882491,14.3211181
7856667644,โรงพยาบาลกรุงธน 2,hospital,100.5010521,13.6760534
7856667695,โรงพยาบาลนครชัยศรี,hospital,100.195688,13.7917594
7856667711,โรงพยาบาลท่าช้าง,hospital,100.385921,14.7944679
7856667742,โรงพยาบาลลานกระบือ,hospital,99.8455202,16.598955
7856667751,โรงพยาบาลกงไกรลาศ,hospital,99.9658549,16.9545875
7856667687,โรงพยาบาลสมเด็จพระยุพราชจอมบึง,hospital,99.6304822,13.6226002
7856667752,โรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช,hospital,99.1316235,16.8727826
7856667698,โรงพยาบาลบางปะหัน,hospital,100.5341077,14.4767044
7856667709,โรงพยาบาลแสวงหา,hospital,100.3240371,14.7453922
7856667728,โรงพยาบาลมะการักษ์,hospital,99.7675967,13.9081475
7856667666,โรงพยาบาลบางปะอิน,hospital,100.5767923,14.2138013
7856667747,โรงพยาบาลตรอน,hospital,100.1432937,17.4460154
7856667754,โรงพยาบาลรวมแพทย์สุโขทัย,hospital,99.7999763,17.0085042
7856667749,โรงพยาบาลกองบิน 46,hospital,100.2703124,16.7877478
7856667646,โรงพยาบาลบางปะกอก 1,hospital,100.4989117,13.6787951
7856667784,โรงพยาบาลหริภุญชัยเมมโมเรียล,hospital,99.0468764,18.5863841
7856667710,โรงพยาบาลค่ายบางระจัน,hospital,100.2928108,14.7869317
7856667739,โรงพยาบาลวังทรายพูน,hospital,100.5204874,16.4161413
7856667771,โรงพยาบาลจุน,hospital,100.1340562,19.3356901
7856667673,โรงพยาบาลธนบุรี 2,hospital,100.4009736,13.7831371
7856667679,โรงพยาบาลศรีวิชัย 5,hospital,100.2715355,13.5760859
7856667428,โรงพยาบาลเมืองเพชร-ธนบุรี,hospital,99.9456391,13.0831412
