system:index,0_202301,10_202311,11_202312,12_202401,13_202402,14_202403,15_202404,16_202405,17_202406,18_202407,1_202302,2_202303,3_202304,4_202305,5_202306,6_202307,7_202308,8_202309,9_202310,ID,.geo
00000000000000000000,0.2079880884172514,0.7391455832844328,0.7413167219755714,0.6963177856472551,0.42803441590349184,0.2859475744641243,0.3692936843837463,0.3727589471138412,0.5263516146048529,,0.20722464295321358,0.29508713564954075,0.24174626523907844,0.29505983366471494,0.49513938147486136,0.5781176264192861,,0.79840295552224,,4310005,"{""type"":""Polygon"",""coordinates"":[[[99.81295939632818,16.157329704230065],[99.81337861606447,16.15657607949252],[99.8134142890006,16.156567243172365],[99.81347669539012,16.156585032211925],[99.8145290119114,16.156937351092534],[99.81456468532822,16.156959570064718],[99.81457805222094,16.15698636962632],[99.81410093207221,16.157896000377598],[99.81378881316061,16.157739980026797],[99.81349006211249,16.157557165523414],[99.81295939632818,16.157329704230065]]]}"
00000000000000000001,0.25637355864193667,0.7251611117032724,0.709756292275949,0.6566488389781068,0.23201623411590808,0.3399279724009001,0.538362742101025,0.48752034868207145,0.6843745483321163,,0.32245359865048184,0.37600240517004146,0.3724919590112172,0.437782877454707,0.5160654828639841,0.5958732037058752,,0.7727969467977005,,4310006,"{""type"":""Polygon"",""coordinates"":[[[99.81339198277149,16.155974138037873],[99.81340534948062,16.15559961266389],[99.81343208290511,16.155327573901936],[99.8134543891447,16.155287412993335],[99.81348112258456,16.155269584744158],[99.81460487115213,16.155653117604636],[99.81454237879854,16.15623727484181],[99.81451564502636,16.15649582746044],[99.81447103199845,16.156892738738456],[99.81342314338325,16.156535955732178],[99.81339198277149,16.155974138037873]]]}"
00000000000000000002,0.24350132062182134,0.7305702903961905,0.7247758433428114,0.6449915998472792,0.22573910340044373,0.29410980570964135,0.41767257677492636,0.47156136191686887,0.5535419477619262,,0.3188611387827663,0.38610544371884026,0.40321014263561633,0.47660664636784517,0.5718965983795452,,,0.7614279576310968,,4310007,"{""type"":""Polygon"",""coordinates"":[[[99.81414554490672,16.157909376731162],[99.81415448450424,16.15786477553322],[99.81460487115213,16.156977410072493],[99.81472968571734,16.156950698649414],[99.814765359218,16.156906103831403],[99.81489468642533,16.155764560483103],[99.81637953686324,16.15626394734197],[99.81666944330144,16.15614362186548],[99.81592028621175,16.1582037038751],[99.81554566756138,16.158261667007235],[99.81513103474418,16.1582438406714],[99.81484564593393,16.15818587575283],[99.8145290119114,16.15809217700686],[99.81414554490672,16.157909376731162]]]}"
00000000000000000003,0.3017689130180289,0.7317812861924938,0.5594574939883663,0.19712984896550867,0.18916304541955947,0.33696782224173694,0.4432665480481538,0.4794711371835607,0.6640502225369385,0.684370724120849,0.28072182878630897,0.30594324303196524,0.38265903834121806,0.4787408837984416,0.4625610124251719,0.41786073461052825,0.5188023550729464,0.7637995397958159,0.7243258124583378,4310009,"{""type"":""Polygon"",""coordinates"":[[[99.82463778560803,16.14533921882385],[99.82486079238153,16.14356448422236],[99.82574371418191,16.143658147278366],[99.82579276092989,16.143613558291285],[99.82585517636339,16.14363134328316],[99.82683611794926,16.14364026290788],[99.82649278711371,16.14537486710094],[99.8264080615864,16.145780610832425],[99.82463778560803,16.14533921882385]]]}"
00000000000000000004,0.2969276880922041,0.7107436699320351,0.6105829215038153,0.19857628419830653,0.1985172961106121,0.3707971295487077,0.5032155292799597,0.6367271894417363,0.6864325031515571,0.7070301634929138,0.278394712040413,0.3337198765118583,0.42093932365097525,0.5604590537910888,0.5224490289847863,0.4946260998133083,0.5279877858508487,0.7409868732649638,0.7083629300711674,4310010,"{""type"":""Polygon"",""coordinates"":[[[99.82573026039137,16.147934404366108],[99.82599780388935,16.146592240763297],[99.82617619507026,16.145771730409113],[99.8263635274987,16.145807424806225],[99.82661319117334,16.145860907514308],[99.82716616645128,16.145967962567212],[99.82722406982863,16.14678836335577],[99.8272553206383,16.147091591743987],[99.82723743870221,16.14715851781465],[99.8269297848353,16.147430494318137],[99.82676033299842,16.147533091574747],[99.8265418342915,16.147657921025903],[99.8263635274987,16.147760484366163],[99.825926532672,16.147925500669253],[99.82577487929976,16.14794334168405],[99.82573026039137,16.147934404366108]]]}"
00000000000000000005,0.2886136164557431,0.6878721024523189,0.6195555479403074,0.21048470132664582,0.20884011829809623,0.39829558754724703,0.47818971572507457,0.6688448689031918,0.6827791659122748,0.6977229242206532,0.26568432291745486,0.3301625031878813,0.4383078422804583,0.560006493342015,0.5030316621756337,0.47591762672649673,0.5019402251528344,0.7335673971395285,0.7010992370332021,4310011,"{""type"":""Polygon"",""coordinates"":[[[99.82416512216345,16.147956684803766],[99.82507928679117,16.145472996328483],[99.82614945765714,16.14575832816781],[99.82569458231156,16.147947766629034],[99.82482511466465,16.147943276119683],[99.82425435836929,16.1479745602509],[99.82416512216345,16.147956684803766]]]}"
00000000000000000006,0.3508017885940536,0.7323614196961138,0.6583714321057088,0.3260543678719874,0.2449669017817694,0.29855220768756735,0.3815557951485562,0.45195743162109864,0.5412306866400657,0.5804137046614992,0.2784481811852156,0.3446500474465083,0.4443807625684397,0.5711498046542504,0.5589586977204924,0.5453234321344397,0.5136401499635445,0.7483383952641897,0.6992574435032538,4310012,"{""type"":""Polygon"",""coordinates"":[[[99.82013409296074,16.14596795518314],[99.82047305583782,16.145499702975755],[99.82069153902806,16.145428381781553],[99.8211195667573,16.145539812645918],[99.8211641832583,16.14544175079913],[99.82109283092626,16.14541053664442],[99.82133362399918,16.1447371721705],[99.82228786262752,16.14490669242838],[99.82280956072455,16.145027096307174],[99.8234472339013,16.145169727680507],[99.82405817507765,16.145290170358695],[99.82462441714105,16.145379318796746],[99.82505254972118,16.145464030028975],[99.82448621967181,16.1469890266444],[99.82013409296074,16.14596795518314]]]}"
00000000000000000007,0.4155377436902397,0.7336945076828074,0.6801272638662759,0.38202403890796643,0.28248953334033555,0.4331664749721511,0.5145806261454883,0.5719607651383717,0.663007315543297,0.6866044118559397,0.2814255523208588,0.3440876988230159,0.4089529328153628,0.5288577025087668,0.5884485045707227,0.5930224785425654,,0.7252163911470219,0.6874758536134238,4310013,"{""type"":""Polygon"",""coordinates"":[[[99.81971943786655,16.14735472332158],[99.82012072519838,16.146306789104493],[99.81999590275399,16.146181958598895],[99.82011629765972,16.14598572422955],[99.8228631186171,16.146632285382218],[99.82447727899297,16.147006918761473],[99.82445496987457,16.147069347436894],[99.82414732602284,16.1479254786929],[99.82412501699059,16.147943279543355],[99.82410270796416,16.147952207993335],[99.82403586606867,16.147938886135734],[99.82380400598801,16.14789868413318],[99.82285860578861,16.14776496619676],[99.82241720122552,16.14771138617155],[99.8199691672746,16.147408211491992],[99.81971943786655,16.14735472332158]]]}"
00000000000000000008,0.3904030632227807,0.7048283434275447,0.6705592641287796,0.6161837851006693,0.2568918689543737,0.4005472418862072,0.49510647036274025,0.6422217940403592,0.7363731136760332,0.6973908280926088,0.2114008826686254,0.2048380336686104,0.2081562934301974,0.2946847078426286,0.4831394745158073,0.404249520423303,,0.76801433720513,0.713401594164701,4310014,"{""type"":""Polygon"",""coordinates"":[[[99.82253308673208,16.149026868286576],[99.82288985500209,16.147791735100707],[99.82403135317824,16.147956662256345],[99.82401798480612,16.14800128779455],[99.82365235638203,16.1483089505038],[99.82335808368646,16.148482887885695],[99.8226178084179,16.148995622223044],[99.82253308673208,16.149026868286576]]]}"
00000000000000000009,0.5246333651932957,0.7483439667635252,0.7134037287303655,0.5426302762316728,0.23870593817073235,0.34908556881928077,0.44463852405609494,0.528150462029311,0.6854045536971239,0.6595222102925363,0.24036658788278098,0.32307978021936,0.350880859257687,0.4005645672236288,0.49384420239494126,0.5165944913337132,,0.7739960438684049,0.7167901846867915,4310015,"{""type"":""Polygon"",""coordinates"":[[[99.82065586305197,16.148518523063423],[99.82113293467596,16.147595461513124],[99.82273377934412,16.14779611493404],[99.82279619254356,16.147849656736973],[99.82279176486625,16.14793885195741],[99.82244836513027,16.149093781725362],[99.82065586305197,16.148518523063423]]]}"
